Date,Confirmed,pred
2020-06-20,236748,234077.70651496513
2020-06-21,242355,239905.08415232407
2020-06-22,246963,244482.77584649308
2020-06-23,250767,249382.84117454945
2020-06-24,254416,249142.00446267048
2020-06-25,259064,252267.5730973707
2020-06-26,263360,257038.82590171217
2020-06-27,267766,256255.85054855436
2020-06-28,271982,260313.92090265758
2020-06-29,275999,263880.9889974528
2020-06-30,279393,267946.14670900314
2020-07-01,282043,267316.35979840264
2020-07-02,284541,269424.9253340997
2020-07-03,288089,272523.79668018856
2020-07-04,291847,270701.8247315968
2020-07-05,295532,273168.64830948296
2020-07-06,298557,275783.5374881432
2020-07-07,301019,278840.3047816194
2020-07-08,303083,279048.6212792948
2020-07-09,306216,280687.86503722204
2020-07-10,309274,282576.3786420463
2020-07-11,312029,281583.33579405595
2020-07-12,315041,283101.59644686076
2020-07-13,317657,285118.7513626698
2020-07-14,319493,287395.0783875235
2020-07-15,321205,288930.25047236786
2020-07-16,323698,290599.8507983136
2020-07-17,326439,291971.39705031854
2020-07-18,328846,292700.4813157749
2020-07-19,330930,293989.33042852976
2020-07-20,333029,295830.2682096974
2020-07-21,334683,297729.435384198
2020-07-22,336402,300454.6640320337
2020-07-23,338759,302457.44043707487
2020-07-24,341304,303918.8607009618
2020-07-25,343592,306354.637923921
2020-07-26,345790,307941.0641629748
2020-07-27,347923,309928.6062535631
