date,prediction
2020-06-29,27.866244336953024
2020-06-30,27.665666599569935
2020-07-01,30.777372664642044
2020-07-02,30.46417616245629
2020-07-03,29.278731616042016
2020-07-04,30.214083988316982
2020-07-05,30.29632485787841
2020-07-06,30.156067628004127
2020-07-07,30.464523129634685
2020-07-08,30.624510270201913
2020-07-09,30.624510270201913
2020-07-10,30.624510270201913
2020-07-11,30.624510270201913
2020-07-12,30.624510270201913
2020-07-13,30.624510270201913
2020-07-14,30.624510270201913
2020-07-15,30.624510270201913
2020-07-16,30.624510270201913
2020-07-17,30.624510270201913
2020-07-18,30.624510270201913
2020-07-19,30.624510270201913
2020-07-20,30.624510270201913
2020-07-21,30.624510270201913
2020-07-22,30.624510270201913
2020-07-23,30.624510270201913
2020-07-24,30.624510270201913
2020-07-25,30.624510270201913
2020-07-26,30.624510270201913
2020-07-27,30.624510270201913
2020-07-28,30.624510270201913
2020-07-29,30.624510270201913
2020-07-30,30.624510270201913
